#{"t_start": 1765055502.0717697, "env_id": "None"}
r,l,t
202930.137825,90,120.659971
77447.140556,90,120.760628
89973.079826,90,120.869358
175582.147577,90,120.970784
-26287.164787,90,121.074221
-16562.499298,90,121.182896
39839.261765,90,121.288847
91320.839378,90,121.396223
243856.355377,90,121.495175
136606.926346,90,121.587663
49810.061729,90,121.716894
-35872.472717,90,121.844383
166191.804352,90,121.981053
143724.41032,90,122.113091
100832.382542,90,122.325655
66046.312759,90,122.450382
77872.028852,90,122.557757
12102.555511,90,122.899965
32730.126085,90,123.017678
-121103.497444,90,123.120729
-39421.651203,90,123.228395
38927.040691,90,123.323072
-53412.489482,90,123.438077
-37276.440599,90,123.54528
213108.84182,90,123.649148
114074.959697,90,123.749583
76752.894806,90,123.859254
-85327.247614,90,123.962888
-54815.861168,90,124.078605
43789.714115,90,124.171472
-115998.099522,90,124.273279
77396.081106,90,124.371589
142271.851433,90,124.484659
-4844.323172,90,124.584986
133490.439835,90,124.687498
6694.458394,90,124.78936
11760.340557,90,124.898297
270325.95145,90,125.002271
246846.235893,90,125.127016
13701.376742,90,125.224556
76494.398048,90,125.331611
-103423.927525,90,125.433242
-76996.63393,90,125.549515
135153.611832,90,125.647999
-374.13063,90,125.807085
87660.020103,90,125.924038
-61008.913631,90,126.03398
-124681.597702,90,126.146389
-23354.811584,90,126.267945
-16604.668409,90,126.37446
209193.787081,90,126.488488
